Time,Ping (ms),Download (Mbit/s),Upload (Mbit/s)
2019-09-27T00:40:52.263865,22.741,26.32,5.87
2019-09-27T00:50:39.991391,22.54,28.13,5.91
2019-09-27T01:00:40.259090,24.548,27.16,6.01
2019-09-27T01:10:39.810895,22.565,26.83,5.98
2019-09-27T01:20:39.756857,23.374,28.60,5.95
2019-09-27T01:30:40.586347,22.475,27.36,5.85
2019-09-27T01:40:40.068321,22.117,28.06,6.02
2019-09-27T01:50:39.347806,22.476,28.49,5.94
2019-09-27T02:00:39.942795,22.745,28.38,5.99
2019-09-27T02:10:39.507721,22.653,27.07,6.03
2019-09-27T02:20:39.588532,22.797,28.25,6.00
2019-09-27T02:30:40.123589,22.704,26.32,6.02
2019-09-27T02:40:39.992424,22.698,27.16,5.87
2019-09-27T02:50:39.691327,22.479,28.36,6.04
2019-09-27T03:00:40.436300,23.452,27.24,5.98
2019-09-27T03:10:39.859304,22.531,27.49,5.97
2019-09-27T03:20:39.510718,22.423,27.42,6.01
2019-09-27T03:30:39.949065,22.824,28.35,6.01
2019-09-27T03:40:39.642876,23.196,28.29,6.00
2019-09-27T03:50:40.081871,22.58,27.58,6.05
2019-09-27T04:00:39.735426,22.601,27.65,5.97
2019-09-27T04:10:40.718356,22.905,27.94,5.93
2019-09-27T04:20:39.682153,22.967,27.50,5.94
2019-09-27T04:30:40.211209,22.587,28.67,6.04
2019-09-27T04:40:39.932984,22.783,27.44,5.85
2019-09-27T04:50:39.548024,23.225,28.46,6.02
2019-09-27T05:00:40.010468,22.9,28.23,6.04
2019-09-27T05:10:39.442230,24.006,27.92,6.05
2019-09-27T05:20:40.277561,22.675,28.66,5.98
2019-09-27T05:30:40.106079,23.717,28.74,5.70
2019-09-27T05:40:39.791821,22.828,27.98,5.87
2019-09-27T05:50:39.717799,22.367,28.00,5.99
2019-09-27T06:00:40.485759,23.663,27.62,5.95
2019-09-27T06:10:40.372636,23.001,27.60,5.94
2019-09-27T06:20:40.257275,22.841,28.40,5.96
2019-09-27T06:30:40.164764,22.989,27.16,6.01
2019-09-27T06:40:39.612510,23.135,28.08,6.04
2019-09-27T06:50:40.130274,21.934,27.85,6.02
2019-09-27T07:00:41.309666,22.236,22.31,6.01
2019-09-27T07:10:39.729030,22.22,28.61,6.03
2019-09-27T07:20:39.933668,22.403,26.92,5.85
2019-09-27T07:30:39.710138,22.642,27.36,5.84
2019-09-27T07:40:40.100415,22.014,28.03,6.01
2019-09-27T07:50:40.001676,23.302,27.98,5.92
2019-09-27T08:00:39.800262,22.925,28.36,5.85
2019-09-27T08:10:39.291547,22.814,28.77,6.05
2019-09-27T08:20:40.096829,22.671,26.97,5.91
2019-09-27T08:30:39.521306,22.263,28.26,6.01
2019-09-27T08:40:40.294470,22.237,27.95,5.84
2019-09-27T08:50:39.714520,22.141,27.34,5.39
2019-09-27T09:00:40.364848,22.21,28.16,5.90
2019-09-27T09:10:40.073377,22.688,27.23,5.90
2019-09-27T09:20:39.891883,22.673,27.84,5.95
2019-09-27T09:30:39.519504,22.172,27.61,6.04
2019-09-27T09:40:40.099529,22.64,28.13,5.93
2019-09-27T09:50:39.497130,21.908,27.74,6.01
2019-09-27T10:00:40.147767,22.711,27.92,6.03
2019-09-27T10:10:39.725583,22.043,28.13,5.86
2019-09-27T10:20:40.493233,21.755,25.47,5.96
2019-09-27T10:30:39.985292,22.69,28.55,5.99
2019-09-27T10:40:39.520617,21.975,27.76,5.89
2019-09-27T10:50:39.831433,22.513,28.40,6.00
2019-09-27T11:00:39.582817,22.417,27.51,5.86
2019-09-27T11:10:40.045478,22.833,27.89,6.02
2019-09-27T11:20:40.372699,22.437,28.58,5.92
2019-09-27T11:30:39.956891,22.674,27.87,6.00
2019-09-27T11:40:39.602268,22.13,27.18,5.93
2019-09-27T11:50:40.069517,22.562,27.04,5.96
2019-09-27T12:00:39.395145,22.807,28.82,6.04
2019-09-27T12:10:39.726602,22.206,27.79,5.97
2019-09-27T12:20:39.327835,22.482,27.97,5.99
2019-09-27T12:30:39.821583,22.247,27.46,6.03
2019-09-27T12:40:39.606737,21.814,27.58,5.97
2019-09-27T12:50:40.239510,22.659,27.95,6.00
2019-09-27T13:00:39.755987,22.604,27.34,5.93
2019-09-27T13:10:40.395600,22.153,27.22,5.94
2019-09-27T13:20:40.175880,22.47,27.62,5.92
2019-09-27T13:30:39.749719,22.177,27.63,6.00
2019-09-27T13:40:40.101409,22.637,26.54,5.95
2019-09-27T13:50:39.672635,22.57,27.49,5.84
2019-09-27T14:00:40.010713,22.559,27.78,6.00
2019-09-27T14:10:39.869048,22.856,27.58,5.99
2019-09-27T14:20:39.534815,22.128,28.02,6.00
2019-09-27T14:30:40.494976,22.904,27.17,5.85
2019-09-27T14:40:40.052058,22.666,27.85,5.99
2019-09-27T14:50:39.563145,22.725,28.05,6.03
2019-09-27T15:00:41.873651,22.235,27.48,4.92
2019-09-27T15:10:39.314874,22.729,27.93,5.94
2019-09-27T15:20:40.212973,22.991,27.32,5.96
2019-09-27T15:30:40.199564,23.058,29.22,6.02
2019-09-27T15:40:39.802482,21.741,27.07,5.98
2019-09-27T15:50:39.825134,22.723,28.36,5.99
2019-09-27T16:00:39.315760,21.873,27.14,5.98
2019-09-27T16:10:39.647174,22.702,28.32,5.80
2019-09-27T16:20:39.562824,23.087,28.45,5.78
2019-09-27T16:30:40.033890,22.416,27.83,5.98
2019-09-27T16:40:39.672730,23.819,26.95,5.85
2019-09-27T16:50:40.075610,22.767,27.84,5.95
2019-09-27T17:00:40.021054,23.017,27.81,5.99
2019-09-27T17:10:39.437452,22.853,29.21,5.89
2019-09-27T17:20:40.700756,21.895,26.93,5.91
2019-09-27T17:50:39.826743,22.587,27.30,5.87
2019-09-27T18:00:39.653980,22.47,27.44,5.99
2019-09-27T18:10:40.200499,23.294,27.96,5.99
2019-09-27T18:20:41.439375,22.507,27.22,5.84
2019-09-27T18:40:42.008800,22.489,26.32,5.87
2019-09-27T18:50:40.524983,22.493,28.05,5.93
2019-09-27T19:00:40.963824,22.795,25.23,5.98
2019-09-27T19:10:39.357500,22.822,28.56,6.00
2019-09-27T19:20:40.715455,22.654,26.95,5.91
2019-09-27T19:30:39.439925,22.8,28.06,5.97
2019-09-27T19:40:39.940850,22.276,26.94,5.78
2019-09-27T19:50:39.584330,22.087,27.64,5.97
2019-09-27T20:00:40.291499,22.599,27.19,6.00
2019-09-27T20:10:39.614925,22.438,27.11,5.97
2019-09-27T20:20:39.594154,23.005,27.08,5.95
2019-09-27T20:30:40.504523,22.73,28.95,5.91
2019-09-27T20:40:40.333654,22.943,27.37,5.91
2019-09-27T20:50:39.928094,22.269,27.96,5.95
2019-09-27T21:00:39.546432,22.408,27.61,5.92
2019-09-27T21:10:40.025656,22.523,28.18,6.01
2019-09-27T21:20:40.203315,22.106,27.55,5.83
2019-09-27T21:30:40.023184,22.627,27.27,5.94
2019-09-27T21:40:39.718122,23.328,27.78,5.86
2019-09-27T21:50:40.144344,22.579,27.90,5.95
2019-09-27T22:00:39.828072,22.974,26.13,5.94
2019-09-27T22:10:39.482191,22.314,28.45,5.87
2019-09-27T22:20:39.403359,22.762,28.10,6.01
2019-09-27T22:30:40.084979,22.562,26.94,5.96
2019-09-27T22:40:40.424372,23.003,28.73,5.50
2019-09-27T22:50:40.949844,22.664,26.93,5.94
2019-09-27T23:00:40.269308,22.821,27.97,5.88
2019-09-27T23:10:40.232353,22.58,26.99,5.74
2019-09-27T23:20:40.873648,22.827,27.95,5.88
2019-09-27T23:30:40.593017,22.359,25.54,5.85
2019-09-27T23:40:41.393852,22.869,28.14,5.88
2019-09-27T23:50:39.852544,22.553,28.53,5.99
2019-09-28T00:00:39.363759,22.73,28.26,6.03
2019-09-28T00:10:39.902225,22.894,28.71,6.00
2019-09-28T00:20:39.708956,22.49,28.24,5.96
2019-09-28T00:30:40.313677,22.466,27.50,5.92
2019-09-28T00:40:40.304906,22.652,27.42,5.97
2019-09-28T00:50:39.848532,22.757,28.07,5.61
2019-09-28T01:00:39.320300,22.338,27.14,5.97
2019-09-28T01:10:39.791084,22.852,27.48,5.95
2019-09-28T01:20:39.768067,22.134,27.65,5.85
2019-09-28T01:30:40.460824,22.656,27.17,5.82
2019-09-28T01:40:40.153742,22.654,27.91,5.92
2019-09-28T01:50:40.004378,22.698,27.92,5.91
2019-09-28T02:00:39.998993,22.551,28.97,5.88
2019-09-28T02:10:39.944085,22.609,28.04,6.00
2019-09-28T02:20:40.046036,22.98,27.84,5.88
2019-09-28T02:30:39.592061,22.066,27.33,5.93
2019-09-28T02:40:40.210717,22.52,26.44,5.85
2019-09-28T02:50:39.701443,22.111,28.32,5.94
2019-09-28T03:00:40.241886,22.432,27.99,6.01
2019-09-28T03:10:39.696798,22.542,26.99,5.95
2019-09-28T03:20:39.825622,22.495,26.77,5.77
2019-09-28T03:30:39.848173,22.595,27.59,5.92
2019-09-28T03:40:39.515592,22.757,27.44,5.96
2019-09-28T03:50:40.676924,22.194,28.23,5.96
2019-09-28T04:00:40.077953,23.237,28.90,6.00
2019-09-28T04:10:39.887520,24.022,29.05,6.00
2019-09-28T04:20:39.821773,22.54,28.03,5.93
2019-09-28T04:30:39.545155,22.508,27.35,5.87
2019-09-28T04:40:40.214647,22.169,26.81,5.96
2019-09-28T04:50:39.731956,22.578,27.28,5.98
2019-09-28T05:00:40.946025,24.023,26.83,5.97
2019-09-28T05:10:39.577087,22.781,28.07,5.97
2019-09-28T05:20:40.237699,23.585,29.08,6.01
2019-09-28T05:30:39.690551,22.888,27.96,5.98
2019-09-28T05:40:40.332561,22.909,27.75,5.89
2019-09-28T05:50:40.008766,22.613,28.17,5.87
2019-09-28T06:00:39.620986,22.961,28.16,5.95
2019-09-28T06:10:40.147965,22.708,27.78,5.97
2019-09-28T06:20:40.034026,23.114,27.96,5.94
2019-09-28T06:30:39.682481,22.364,27.14,5.96
2019-09-28T06:40:40.628493,22.979,27.04,5.88
2019-09-28T06:50:40.488423,22.852,28.06,5.88
2019-09-28T07:00:40.122594,22.816,27.64,5.99
